Sample_Ratio,Detector,Expected_Peak,Found_Peak,Intensity,FWHM,Area
25 Anisole: 75% MTBE,4 mm,860,861.535965731144,9.3039668487302,9,65.6551332284529
0% Anisole: 100 MTBE,4 mm,860,861.535965731144,9.09470738664177,9,64.9589290129243
100% Anisole: 0% MTBE,5 mm,860,859.735965731144,9.40953780324075,8.39999999999998,62.2439219185697
75% Anisole: 25% MTBE,5 mm,860,859.735965731144,9.06204245651944,8.69999999999993,61.2897685261939
50% Anisole: 50% MTBE,5 mm,860,859.735965731144,9.48456715322743,8.10000000000002,61.2860364108758
25 Anisole: 75% MTBE,5 mm,860,859.735965731144,9.69353744621524,8.10000000000002,62.5941249677699
0% Anisole: 100 MTBE,5 mm,860,859.735965731144,9.51534766791677,8.39999999999998,63.0661299639663
100% Anisole: 0% MTBE,0 mm,1600,1617.23596573114,1.90513984214424,16.5,23.9574632256575
75% Anisole: 25% MTBE,0 mm,1600,1617.23596573114,1.7350809864374,15.9000000000001,20.9121678215066
50% Anisole: 50% MTBE,0 mm,1600,1617.23596573114,2.00242929278167,16.2,23.8234821385297
25 Anisole: 75% MTBE,0 mm,1600,1617.23596573114,1.93883198055776,16.5,24.412417419944
0% Anisole: 100 MTBE,0 mm,1600,1617.23596573114,1.80146370589474,16.2,22.2753729030578
100% Anisole: 0% MTBE,1 mm,1600,1615.73596573114,2.03098984938655,16.8,26.230924114911
75% Anisole: 25% MTBE,1 mm,1600,1615.73596573114,1.80987688640634,16.2,22.4298172549231
50% Anisole: 50% MTBE,1 mm,1600,1616.93596573114,1.98086268800268,16.8,26.0507674117121
25 Anisole: 75% MTBE,1 mm,1600,1615.73596573114,2.04069939598417,16.5,26.225238769349
0% Anisole: 100 MTBE,1 mm,1600,1615.73596573114,1.92357881450051,16.5,24.4870905255499
100% Anisole: 0% MTBE,2 mm,1600,1615.43596573114,1.98894923431878,16.5,25.3747207699763
75% Anisole: 25% MTBE,2 mm,1600,1615.43596573114,1.87043830692946,16.2,23.1019267003779
50% Anisole: 50% MTBE,2 mm,1600,1615.43596573114,2.06677490240836,16.2,25.4049557018933
25 Anisole: 75% MTBE,2 mm,1600,1615.43596573114,2.07024731101538,16.5,25.8647250290245
0% Anisole: 100 MTBE,2 mm,1600,1615.43596573114,1.97698721692919,16.5,24.8125493598715
100% Anisole: 0% MTBE,3 mm,1600,1613.93596573114,1.87041883330823,17.1000000000001,25.3341861151662
75% Anisole: 25% MTBE,3 mm,1600,1613.93596573114,1.75104327741794,16.5,22.9154036667937
50% Anisole: 50% MTBE,3 mm,1600,1613.93596573114,1.92596954883733,16.8,25.6291384374539
25 Anisole: 75% MTBE,3 mm,1600,1613.93596573114,1.94247854952466,16.8,25.8271726440189
